Benchmark,(size),Mode,Cnt,Score,Error,Units
BenchmarkMatrix.testLoop,10,avgt,5,0.010,±,0.007,ms/op
BenchmarkMatrix.testLoop:·gc.alloc.rate,10,avgt,5,92.195,±,68.528,MB/sec
BenchmarkMatrix.testLoop:·gc.alloc.rate.norm,10,avgt,5,1016.091,±,0.036,B/op
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space,10,avgt,5,94.721,±,62.967,MB/sec
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space.norm,10,avgt,5,1052.656,±,444.073,B/op
BenchmarkMatrix.testLoop:·gc.churn.G1_Survivor_Space,10,avgt,5,0.001,±,0.002,MB/sec
BenchmarkMatrix.testLoop:·gc.churn.G1_Survivor_Space.norm,10,avgt,5,0.007,±,0.021,B/op
BenchmarkMatrix.testLoop:·gc.count,10,avgt,5,17.000,counts
BenchmarkMatrix.testLoop:·gc.time,10,avgt,5,30.000,ms
BenchmarkMatrix.testLoop:·stack,10,avgt,NaN,---
BenchmarkMatrix.testLoop,100,avgt,5,7.374,±,9.970,ms/op
BenchmarkMatrix.testLoop:·gc.alloc.rate,100,avgt,5,11.225,±,16.512,MB/sec
BenchmarkMatrix.testLoop:·gc.alloc.rate.norm,100,avgt,5,82023.757,±,39.685,B/op
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space,100,avgt,5,11.223,±,59.175,MB/sec
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space.norm,100,avgt,5,87081.647,±,464628.580,B/op
BenchmarkMatrix.testLoop:·gc.churn.G1_Survivor_Space,100,avgt,5,0.002,±,0.017,MB/sec
BenchmarkMatrix.testLoop:·gc.churn.G1_Survivor_Space.norm,100,avgt,5,13.153,±,113.248,B/op
BenchmarkMatrix.testLoop:·gc.count,100,avgt,5,2.000,counts
BenchmarkMatrix.testLoop:·gc.time,100,avgt,5,22.000,ms
BenchmarkMatrix.testLoop:·stack,100,avgt,NaN,---
BenchmarkMatrix.testLoop,500,avgt,5,815.394,±,418.487,ms/op
BenchmarkMatrix.testLoop:·gc.alloc.rate,500,avgt,5,2.266,±,1.006,MB/sec
BenchmarkMatrix.testLoop:·gc.alloc.rate.norm,500,avgt,5,2010048.121,±,13.052,B/op
BenchmarkMatrix.testLoop:·gc.count,500,avgt,5,≈,0,counts
BenchmarkMatrix.testLoop:·stack,500,avgt,NaN,---
BenchmarkMatrix.testLoop,1000,avgt,5,8085.222,±,3354.868,ms/op
BenchmarkMatrix.testLoop:·gc.alloc.rate,1000,avgt,5,0.925,±,0.377,MB/sec
BenchmarkMatrix.testLoop:·gc.alloc.rate.norm,1000,avgt,5,8022965.600,±,23640.444,B/op
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space,1000,avgt,5,0.738,±,6.356,MB/sec
BenchmarkMatrix.testLoop:·gc.churn.G1_Eden_Space.norm,1000,avgt,5,6710886.400,±,57782755.782,B/op
BenchmarkMatrix.testLoop:·gc.count,1000,avgt,5,1.000,counts
BenchmarkMatrix.testLoop:·gc.time,1000,avgt,5,7.000,ms
BenchmarkMatrix.testLoop:·stack,1000,avgt,NaN,---
BenchmarkMatrix.testLoop,1500,avgt,5,124586.110,±,33527.114,ms/op
