Benchmark,(nThreads),(size),Mode,Cnt,Score,Error
BenchmarkThreads.testThreads,1,64,avgt,5,0.274,±
BenchmarkThreads.testThreads:·gc.alloc.rate,1,64,avgt,5,142.903,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,1,64,avgt,5,43075.769,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,1,64,avgt,5,146.289,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,1,64,avgt,5,44113.999,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,1,64,avgt,5,0.003,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,1,64,avgt,5,1.021,±
BenchmarkThreads.testThreads:·gc.count,1,64,avgt,5,26.000,counts
BenchmarkThreads.testThreads:·gc.time,1,64,avgt,5,20.000,ms
BenchmarkThreads.testThreads:·stack,1,64,avgt,NaN,---
BenchmarkThreads.testThreads,1,128,avgt,5,1.223,±
BenchmarkThreads.testThreads:·gc.alloc.rate,1,128,avgt,5,111.935,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,1,128,avgt,5,149836.969,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,1,128,avgt,5,112.630,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,1,128,avgt,5,151723.776,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,1,128,avgt,5,0.010,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,1,128,avgt,5,13.877,±
BenchmarkThreads.testThreads:·gc.count,1,128,avgt,5,20.000,counts
BenchmarkThreads.testThreads:·gc.time,1,128,avgt,5,18.000,ms
BenchmarkThreads.testThreads:·stack,1,128,avgt,NaN,---
BenchmarkThreads.testThreads,1,256,avgt,5,7.829,±
BenchmarkThreads.testThreads:·gc.alloc.rate,1,256,avgt,5,65.012,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,1,256,avgt,5,559981.766,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,1,256,avgt,5,61.932,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,1,256,avgt,5,533315.858,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,1,256,avgt,5,0.085,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,1,256,avgt,5,737.574,±
BenchmarkThreads.testThreads:·gc.count,1,256,avgt,5,11.000,counts
BenchmarkThreads.testThreads:·gc.time,1,256,avgt,5,19.000,ms
BenchmarkThreads.testThreads:·stack,1,256,avgt,NaN,---
BenchmarkThreads.testThreads,1,512,avgt,5,55.559,±
BenchmarkThreads.testThreads:·gc.alloc.rate,1,512,avgt,5,35.403,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,1,512,avgt,5,2166786.370,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,1,512,avgt,5,33.647,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,1,512,avgt,5,2058012.443,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,1,512,avgt,5,0.096,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,1,512,avgt,5,5852.386,±
BenchmarkThreads.testThreads:·gc.count,1,512,avgt,5,6.000,counts
BenchmarkThreads.testThreads:·gc.time,1,512,avgt,5,8.000,ms
BenchmarkThreads.testThreads:·stack,1,512,avgt,NaN,---
BenchmarkThreads.testThreads,2,64,avgt,5,0.501,±
BenchmarkThreads.testThreads:·gc.alloc.rate,2,64,avgt,5,82.707,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,2,64,avgt,5,43709.015,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,2,64,avgt,5,5054.149,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,2,64,avgt,5,2669329.968,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,2,64,avgt,5,0.015,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,2,64,avgt,5,7.898,±
BenchmarkThreads.testThreads:·gc.count,2,64,avgt,5,458.000,counts
BenchmarkThreads.testThreads:·gc.time,2,64,avgt,5,481.000,ms
BenchmarkThreads.testThreads:·stack,2,64,avgt,NaN,---
BenchmarkThreads.testThreads,2,128,avgt,5,1.260,±
BenchmarkThreads.testThreads:·gc.alloc.rate,2,128,avgt,5,108.445,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,2,128,avgt,5,150469.778,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,2,128,avgt,5,1170.834,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,2,128,avgt,5,1624641.844,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,2,128,avgt,5,0.032,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,2,128,avgt,5,45.061,±
BenchmarkThreads.testThreads:·gc.count,2,128,avgt,5,171.000,counts
BenchmarkThreads.testThreads:·gc.time,2,128,avgt,5,150.000,ms
BenchmarkThreads.testThreads:·stack,2,128,avgt,NaN,---
BenchmarkThreads.testThreads,2,256,avgt,5,6.696,±
BenchmarkThreads.testThreads:·gc.alloc.rate,2,256,avgt,5,76.090,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,2,256,avgt,5,560615.941,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,2,256,avgt,5,213.924,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,2,256,avgt,5,1575741.616,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,2,256,avgt,5,0.047,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,2,256,avgt,5,343.501,±
BenchmarkThreads.testThreads:·gc.count,2,256,avgt,5,38.000,counts
BenchmarkThreads.testThreads:·gc.time,2,256,avgt,5,41.000,ms
BenchmarkThreads.testThreads:·stack,2,256,avgt,NaN,---
BenchmarkThreads.testThreads,2,512,avgt,5,74.427,±
BenchmarkThreads.testThreads:·gc.alloc.rate,2,512,avgt,5,33.695,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,2,512,avgt,5,2167466.555,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,2,512,avgt,5,50.363,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,2,512,avgt,5,3553510.188,±
